,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,Run time (s),53.799966,54.355859,54.054482,54.413165,54.695079,53.799966,54.695079,54.2637102,104.829796,105.474264,105.404688,105.52408,105.595789,104.829796,105.595789,105.3657234,37.168191,35.986218,35.2923,35.5665,34.669763,34.669763,37.168191,35.7365944,,,,,,,,,Run time (s),54.2637102,105.3657234,35.7365944
,Queries per second,92936.86171,91986.40389,92499.26768,91889.5271,91415.90233,91415.90233,92936.86171,92145.59254,47696.36297,47404.92904,47436.22029,47382.55003,47350.37303,47350.37303,47696.36297,47454.08707,134523.5769,138942.0528,141673.8779,140581.6991,144217.8015,134523.5769,144217.8015,139987.8016,,,,,,,,,Queries per second,92145.59254,47454.08707,139987.8016
,Average Latency (s),0.00103,0.00104,0.001026,0.001033,0.001048,0.001026,0.001048,0.0010354,0.001946,0.00196,0.001965,0.001961,0.001961,0.001946,0.001965,0.0019586,0.000465,0.0004,0.000394,0.00039,0.000363,0.000363,0.000465,0.0004024,,,,,,,,,Average Latency (s),0.0010354,0.0019586,0.0004024
,Min Latency (s),0.000021,0.000024,0.00002,0.000021,0.000023,0.00002,0.000024,0.0000218,0.000038,0.00004,0.000043,0.000036,0.00004,0.000036,0.000043,0.0000394,0.000013,0.000013,0.000013,0.000014,0.000013,0.000013,0.000014,0.0000132,,,,,,,,,Min Latency (s),0.0000218,0.0000394,0.0000132
,Max Latency (s),0.006042,0.004459,0.0042,0.00947,0.006451,0.0042,0.00947,0.0061244,0.008118,0.012016,0.011955,0.009766,0.010215,0.008118,0.012016,0.010414,0.027809,0.020391,0.009216,0.013308,0.023527,0.009216,0.027809,0.0188502,,,,,,,,,Max Latency (s),0.0061244,0.010414,0.0188502
,Latency StdDev (s),0.000182,0.000187,0.00019,0.000204,0.000178,0.000178,0.000204,0.0001882,0.000639,0.000649,0.00065,0.000653,0.000648,0.000639,0.000653,0.0006478,0.000368,0.000349,0.000346,0.00038,0.000358,0.000346,0.00038,0.0003602,,,,,,,,,Latency StdDev (s),0.0001882,0.0006478,0.0003602
DNS Filter (Sequential),perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perf,,,
,cycles,1777920,1705576,1888081,2004972,1916465,1705576,2004972,1858602.8,2020968,2422980,1757215,1902298,2104814,1757215,2422980,2041655,1797926,1524972,1898175,2009335,1748784,1524972,2009335,1795838.4,,,,,,,,,cycles,1858602.8,2041655,1795838.4
,instructions,996953,1040282,1013672,1019196,1000069,996953,1040282,1014034.4,1018905,1051755,1024158,1020713,1021015,1018905,1051755,1027309.2,992809,997978,1009326,1016070,995178,992809,1016070,1002272.2,,,,,,,,,instructions,1014034.4,1027309.2,1002272.2
,cache-references,367641,381925,382090,383699,376240,367641,383699,378319,387405,396019,382703,381638,384313,381638,396019,386415.6,373591,372582,380446,382049,374519,372582,382049,376637.4,,,,,,,,,cache-references,378319,386415.6,376637.4
